TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
1266.228	154.867	-0.075	-4.380
1266.428	156.944	-0.309	-4.559
1266.628	158.939	0.448	-5.256
1266.828	160.959	0.593	-5.051
1267.028	162.984	0.427	-5.262
1267.229	164.988	0.425	-5.324
1267.328	166.171	0.409	-5.324
1267.528	168.166	0.386	-5.324
1267.728	170.180	0.690	-5.284
1267.928	172.205	1.016	-5.266
1268.128	174.175	0.531	-4.808
1268.328	176.193	0.216	-5.295
1268.528	178.215	0.230	-5.324
1268.728	180.363	0.231	-5.324
1268.928	182.486	0.604	-4.797
1269.128	184.334	0.451	-4.530
1269.228	185.499	0.038	-4.992
1269.428	187.422	0.466	-5.237
1269.628	189.427	1.084	-4.944
1269.728	190.593	0.481	-5.028
1269.928	192.489	0.542	-5.321
1270.129	194.622	0.530	-5.324
1270.328	196.644	0.524	-5.324
1270.528	198.590	1.065	-5.278
1270.728	200.593	1.376	-5.220
1270.928	202.651	0.930	-5.182
1271.128	204.762	0.942	-5.324
1271.328	206.779	0.917	-5.324
1271.528	208.795	1.250	-5.287
1271.728	210.788	1.527	-5.284
1271.928	212.834	1.224	-4.979
1272.128	214.902	1.153	-5.168
1272.328	216.909	1.061	-5.324
1272.528	219.059	1.025	-5.324
1272.728	221.081	1.066	-5.324
1272.928	223.083	1.796	-5.294
1273.128	225.170	1.305	-5.101
1273.329	227.159	0.900	-5.283
1273.529	229.124	0.883	-5.324
1273.729	231.182	0.693	-5.324
1273.928	233.185	0.669	-5.318
1274.128	235.196	1.641	-5.310
1274.328	237.214	1.266	-5.153
1274.428	238.342	0.666	-5.323
1274.628	240.422	1.204	-5.324
1274.828	242.422	1.282	-5.324
1275.028	244.413	1.266	-5.324
1275.228	246.511	1.978	-5.303
1275.428	248.538	1.478	-5.238
1275.628	250.607	0.788	-5.276
1275.828	252.532	0.666	-5.324
1276.028	254.531	1.017	-5.321
1276.128	255.698	1.631	-5.322
1276.328	257.605	1.825	-5.198
1276.528	259.605	1.676	-5.317
1276.628	260.753	1.601	-5.324
1276.828	262.756	1.605	-5.324
1277.028	264.759	1.552	-5.324
1277.228	266.805	2.208	-5.313
1277.428	268.810	1.981	-5.300
1277.628	270.963	1.385	-5.250
1277.828	272.861	1.325	-5.324
1278.028	274.873	1.289	-5.324
1278.128	276.026	1.253	-5.324
1278.328	277.956	1.499	-5.311
1278.528	279.942	2.094	-5.300
1278.728	282.023	1.173	-5.300
1278.928	284.111	1.071	-5.324
1279.128	286.122	1.152	-5.324
1279.328	288.184	1.887	-5.324
1279.528	290.212	2.751	-5.316
1279.728	292.217	2.354	-5.266
1279.928	294.299	2.813	-5.260
1280.128	296.250	2.246	-5.309
1280.228	297.394	2.749	-5.268
1280.428	299.276	2.778	-5.303
1280.629	301.382	2.590	-5.268
1280.828	303.383	2.100	-5.307
1281.028	305.430	2.841	-5.320
1281.228	307.430	2.457	-5.273
1281.428	309.551	1.490	-5.321
1281.628	311.556	1.323	-5.324
1281.828	313.549	1.322	-5.324
1282.028	315.647	1.319	-5.324
1282.228	317.628	2.764	-5.320
1282.428	319.804	2.632	-5.312
1282.628	321.673	1.828	-5.322
1282.828	323.698	1.521	-5.324
1283.028	325.864	1.509	-5.324
1283.228	327.827	1.508	-5.324
1283.428	329.789	2.407	-5.324
1283.628	331.874	2.755	-5.305
1283.828	333.857	2.597	-5.322
1283.928	335.021	2.468	-5.324
1284.128	336.929	2.355	-5.324
1284.328	338.948	2.367	-5.324
1284.529	341.139	3.009	-5.316
1284.728	343.151	3.321	-5.317
1284.928	345.121	2.432	-5.311
1285.128	347.208	2.688	-5.324
1285.328	349.201	2.618	-5.324
1285.528	351.150	2.587	-5.324
1285.728	353.209	3.289	-5.322
1285.928	355.235	3.064	-5.311
1286.128	357.442	2.565	-5.291
1286.328	359.405	2.769	-5.314
1286.528	361.349	3.296	-5.317
1286.729	363.424	3.691	-5.323
1286.928	365.403	3.231	-5.277
1287.128	367.571	2.506	-5.324
1287.328	369.459	2.587	-5.324
1287.428	370.575	2.799	-5.324
1287.628	372.563	2.865	-5.324
1287.828	374.671	3.522	-5.321
1288.028	376.663	3.549	-5.321
1288.228	378.742	2.908	-5.311
1288.429	380.725	3.003	-5.321
1288.629	382.877	2.844	-5.324
1288.828	384.759	3.928	-5.324
1289.028	386.783	3.658	-5.324
1289.228	388.961	3.031	-5.324
1289.428	390.537	3.894	-5.319
1289.628	391.364	3.180	-5.324
1289.828	391.506	3.056	-5.317
1550.628	0.000	-3.936	0.003
1550.829	0.032	-3.963	-0.009
1551.028	0.642	-3.938	0.012
1551.228	1.978	-3.941	-0.002
1551.428	4.024	-3.939	0.018
1551.629	6.019	-3.936	0.005
1551.829	7.980	-3.931	0.022
1552.028	10.102	-3.940	0.035
1552.229	12.120	-3.963	0.010
1552.429	14.178	-3.935	0.037
1552.629	16.193	-3.967	-0.007
1552.829	18.186	-3.937	0.022
1553.028	20.213	-3.980	0.007
1553.229	22.231	-3.952	0.019
1553.328	23.332	-3.970	-0.006
1553.529	25.387	-3.968	-0.015
1553.729	27.352	-3.954	-0.015
1553.928	29.366	-3.941	0.002
1554.129	31.383	-3.954	-0.012
1554.229	32.484	-3.950	-0.004
1554.429	34.555	-3.928	0.007
1554.629	36.556	-2.695	-2.497
1554.829	38.528	-2.774	-3.459
1555.028	40.582	-2.726	-5.324
1555.229	42.569	-2.595	-4.553
1555.429	44.601	-2.679	-2.319
1555.629	46.788	-2.734	-2.441
1555.828	48.732	-2.490	-2.471
1556.029	50.816	-2.089	-3.916
1556.229	52.795	-1.781	-5.324
1556.328	53.852	-1.678	-5.324
1556.528	55.938	-1.356	-4.610
1556.728	57.857	-1.742	-3.132
1556.928	59.922	-1.637	-3.966
1557.128	61.880	-1.058	-3.639
1557.228	63.009	-1.079	-3.620
1557.428	65.004	-0.712	-3.978
1557.628	67.001	-0.516	-3.833
1557.829	69.025	-0.939	-4.678
1558.028	71.111	-0.793	-5.324
1558.228	73.094	-0.771	-5.113
1558.428	75.231	-0.962	-4.042
1558.628	77.233	-1.112	-5.208
1558.828	79.201	-1.099	-5.324
1559.028	81.302	-0.855	-5.232
1559.228	83.283	-0.716	-4.448
1559.328	84.356	-0.616	-4.141
1559.528	86.418	-0.835	-4.382
1559.729	88.344	-0.667	-3.960
1559.929	90.404	-0.795	-4.261
1560.129	92.532	-0.781	-4.219
1560.329	94.529	-0.584	-4.852
1560.529	96.563	0.073	-4.708
1560.728	98.562	-0.119	-5.294
1560.929	100.609	-0.105	-5.324
1561.129	102.691	0.036	-5.283
1561.328	104.668	0.378	-5.199
1561.529	106.814	-0.422	-5.020
1561.729	108.799	-0.416	-5.324
1561.929	110.762	0.024	-5.324
1562.129	112.864	0.412	-5.215
1562.329	114.839	0.213	-4.191
1562.528	116.885	-0.130	-4.730
1562.729	118.991	0.122	-5.091
1562.929	120.934	-0.086	-4.839
1563.129	123.040	-0.025	-5.324
1563.329	125.010	0.235	-5.324
1563.529	127.160	0.586	-5.207
1563.729	129.080	0.735	-4.663
1563.928	131.145	0.292	-4.689
1564.128	133.144	0.742	-5.176
1564.329	135.217	0.184	-4.723
1564.529	137.222	-0.033	-5.274
1564.729	139.269	0.047	-5.324
1564.929	141.312	0.087	-5.296
1565.129	143.293	0.779	-4.915
1565.329	145.299	0.592	-4.543
1565.429	146.451	0.464	-4.790
1565.628	148.508	0.458	-5.043
1565.829	150.415	0.711	-4.685
1566.029	152.535	0.845	-4.778
1566.229	154.594	0.583	-4.761
1566.429	156.597	1.052	-5.095
1566.629	158.531	0.606	-4.864
1566.829	160.628	1.076	-4.516
1567.029	162.631	0.654	-4.834
1567.228	164.755	1.154	-4.712
1567.429	166.718	1.251	-4.981
1567.628	168.724	0.606	-4.473
1567.829	170.761	0.827	-5.099
1568.029	172.762	0.659	-4.749
1568.129	173.883	0.271	-5.075
1568.329	175.970	0.332	-5.324
