TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
929.622	89.056	-1.171	-0.087
929.822	91.150	-1.165	-0.087
930.022	93.114	-1.146	-0.088
930.222	95.186	-1.181	-0.115
930.422	97.164	-1.136	-0.084
930.622	99.308	-1.168	-0.098
930.822	101.178	-1.113	-0.071
931.021	103.316	-1.116	-0.086
931.222	105.361	-1.078	-0.086
931.422	107.286	-1.076	-0.093
931.621	109.368	-1.061	-0.108
931.821	111.381	-1.068	-0.117
932.022	113.457	-1.027	-0.113
932.222	115.492	-1.052	-0.127
932.422	117.555	-0.995	-0.114
932.622	119.590	-1.029	-0.139
932.822	121.593	-0.979	-0.124
933.022	123.641	-1.007	-0.144
933.222	125.675	-0.980	-0.148
933.422	127.691	-1.011	-0.152
933.621	129.655	-1.005	-0.147
933.721	130.759	-1.002	-0.129
933.922	132.706	-0.980	-0.138
934.122	134.792	-0.987	-0.145
934.322	136.776	-0.977	-0.118
934.422	137.924	-1.002	-0.137
934.622	139.951	-0.965	-0.118
934.822	141.934	-0.948	-0.117
935.022	143.967	-0.954	-0.126
935.221	146.039	-0.920	-0.095
935.422	148.053	-0.928	-0.132
935.621	150.066	-0.871	-0.110
935.822	152.043	-0.903	-0.144
936.022	154.073	-0.843	-0.126
936.222	156.133	-0.870	-0.149
936.422	158.172	-0.835	-0.129
936.622	160.176	-0.861	-0.166
936.822	162.223	-0.825	-0.163
937.022	164.247	-0.839	-0.173
937.222	166.386	-0.811	-0.175
937.422	168.449	-0.836	-0.178
937.621	170.480	-0.812	-0.175
937.821	172.457	-0.835	-0.181
938.022	174.466	-0.789	-0.165
938.222	176.447	-0.819	-0.186
938.422	178.468	-0.778	-0.157
938.622	180.672	-0.804	-0.187
938.822	182.623	-0.758	-0.152
939.022	184.706	-0.773	-0.164
939.222	186.719	-0.733	-0.145
939.422	188.689	-0.744	-0.163
939.622	190.794	-0.698	-0.164
939.821	192.789	-0.684	-0.164
940.022	194.850	-0.688	-0.172
940.222	196.779	-0.677	-0.207
940.422	198.919	-0.642	-0.174
940.622	200.959	-0.660	-0.208
940.822	202.997	-0.618	-0.166
941.021	204.976	-0.639	-0.223
941.222	207.009	-0.594	-0.187
941.422	209.038	-0.621	-0.241
941.622	211.145	-0.593	-0.230
941.822	213.078	-0.635	-0.246
941.921	214.171	-0.575	-0.204
942.122	216.116	-0.605	-0.226
